"filename", "language", "XML", "HTML", "Properties", "PostCSS", "Log", "Java", "JavaScript", "comment", "blank", "total"
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\application.log", "Log", 0, 0, 0, 0, 938, 0, 0, 0, 16, 954
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\database.log", "Log", 0, 0, 0, 0, 298, 0, 0, 0, 1, 299
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\DataInitializer.java", "Java", 0, 0, 0, 0, 0, 22, 0, 4, 6, 32
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 1, 0, 0, -1, 0
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LogController.java", "Java", 0, 0, 0, 0, 0, 58, 0, 6, 12, 76
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\OrderController.java", "Java", 0, 0, 0, 0, 0, 117, 0, 7, 18, 142
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\OrderWebController.java", "Java", 0, 0, 0, 0, 0, 108, 0, 0, 26, 134
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Order.java", "Java", 0, 0, 0, 0, 0, 100, 0, 3, 31, 134
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\OrderRepository.java", "Java", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\LogService.java", "Java", 0, 0, 0, 0, 0, 113, 0, 34, 15, 162
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\OrderService.java", "Java", 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\OrderServiceImpl.java", "Java", 0, 0, 0, 0, 0, 53, 0, 0, 12, 65
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\application.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\logback.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 3, 2, 27
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\orders.css", "PostCSS", 0, 0, 0, 24, 0, 0, 0, 2, 5, 31
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\style.css", "PostCSS", 0, 0, 0, 55, 0, 0, 0, 1, 11, 67
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\admin\logs.html", "HTML", 0, 175, 0, 0, 0, 0, 0, 0, 10, 185
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\orders\form.html", "HTML", 0, 65, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\orders\list.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\list.html", "HTML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\list.html", "HTML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\target\classes\application.properties", "Properties", 0, 0, -12, 0, 0, 0, 0, -2, -3, -17
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\target\classes\logback.xml", "XML", -26, 0, 0, 0, 0, 0, 0, 0, -4, -30
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\target\classes\static\css\style.css", "PostCSS", 0, 0, 0, -162, 0, 0, 0, -10, -32, -204
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\target\classes\static\js\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, -29, -4, -3, -36
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\target\classes\templates\error.html", "HTML", 0, -38, 0, 0, 0, 0, 0, 0, -7, -45
