"filename", "language", "Markdown", "XML", "HTML", "JavaScript", "PostCSS", "MS SQL", "Properties", "Java", "Shell Script", "Batch", "comment", "blank", "total"
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\API_DOCUMENTATION.md", "Markdown", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 362
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\README.md", "Markdown", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 172
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\pom.xml", "XML", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 82
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\run.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 1, 6, 40
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\run.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 6, 36
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\OrderManagementSystemApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\aspect\UserQueryAspect.java", "Java", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 11, 21, 146
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\config\AspectConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 3, 11
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\config\DataInitializer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 8, 22, 110
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\config\SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 53
"c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\src\main\java\com\example\crud\config\WebConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 3, 4, 34
