Date : 2025-06-14 08:44:52
Directory : c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system
Total : 59 files,  4087 codes, 205 comments, 838 blanks, all 5130 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |         37 |      2,039 |        163 |        507 |      2,709 |
| HTML         |         10 |      1,146 |          8 |        104 |      1,258 |
| Markdown     |          2 |        392 |          0 |        142 |        534 |
| PostCSS      |          2 |        248 |         14 |         49 |        311 |
| XML          |          2 |        125 |          3 |         11 |        139 |
| JavaScript   |          2 |         51 |          9 |          7 |         67 |
| Batch        |          1 |         33 |          1 |          6 |         40 |
| Shell Script |          1 |         28 |          2 |          6 |         36 |
| Properties   |          1 |         15 |          2 |          3 |         20 |
| MS SQL       |          1 |         10 |          3 |          3 |         16 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |         59 |      4,087 |        205 |        838 |      5,130 |
| . (Files)                                                                                                                                 |          5 |        530 |          3 |        159 |        692 |
| src                                                                                                                                       |         54 |      3,557 |        202 |        679 |      4,438 |
| src\main                                                                                                                                  |         49 |      3,255 |        168 |        599 |      4,022 |
| src\main\java                                                                                                                             |         32 |      1,737 |        129 |        427 |      2,293 |
| src\main\java\com                                                                                                                         |         32 |      1,737 |        129 |        427 |      2,293 |
| src\main\java\com\example                                                                                                                 |         32 |      1,737 |        129 |        427 |      2,293 |
| src\main\java\com\example\crud                                                                                                            |         32 |      1,737 |        129 |        427 |      2,293 |
| src\main\java\com\example\crud (Files)                                                                                                    |          1 |          9 |          0 |          4 |         13 |
| src\main\java\com\example\crud\aspect                                                                                                     |          1 |        114 |         11 |         21 |        146 |
| src\main\java\com\example\crud\config                                                                                                     |          4 |        160 |         12 |         36 |        208 |
| src\main\java\com\example\crud\controller                                                                                                 |          8 |        606 |         27 |        119 |        752 |
| src\main\java\com\example\crud\exception                                                                                                  |          1 |         63 |          1 |         14 |         78 |
| src\main\java\com\example\crud\model                                                                                                      |          4 |        312 |         10 |         91 |        413 |
| src\main\java\com\example\crud\repository                                                                                                 |          4 |         54 |          8 |         26 |         88 |
| src\main\java\com\example\crud\service                                                                                                    |          9 |        419 |         60 |        116 |        595 |
| src\main\resources                                                                                                                        |         17 |      1,518 |         39 |        172 |      1,729 |
| src\main\resources (Files)                                                                                                                |          2 |         63 |          5 |          9 |         77 |
| src\main\resources\db                                                                                                                     |          1 |         10 |          3 |          3 |         16 |
| src\main\resources\db\migration                                                                                                           |          1 |         10 |          3 |          3 |         16 |
| src\main\resources\static                                                                                                                 |          4 |        299 |         23 |         56 |        378 |
| src\main\resources\static\css                                                                                                             |          2 |        248 |         14 |         49 |        311 |
| src\main\resources\static\js                                                                                                              |          2 |         51 |          9 |          7 |         67 |
| src\main\resources\templates                                                                                                              |         10 |      1,146 |          8 |        104 |      1,258 |
| src\main\resources\templates (Files)                                                                                                      |          2 |        105 |          0 |         16 |        121 |
| src\main\resources\templates\admin                                                                                                        |          2 |        557 |          1 |         48 |        606 |
| src\main\resources\templates\orders                                                                                                       |          2 |        156 |          3 |         12 |        171 |
| src\main\resources\templates\products                                                                                                     |          2 |        142 |          4 |         13 |        159 |
| src\main\resources\templates\users                                                                                                        |          2 |        186 |          0 |         15 |        201 |
| src\test                                                                                                                                  |          5 |        302 |         34 |         80 |        416 |
| src\test\java                                                                                                                             |          5 |        302 |         34 |         80 |        416 |
| src\test\java\com                                                                                                                         |          5 |        302 |         34 |         80 |        416 |
| src\test\java\com\example                                                                                                                 |          5 |        302 |         34 |         80 |        416 |
| src\test\java\com\example\crud                                                                                                            |          5 |        302 |         34 |         80 |        416 |
| src\test\java\com\example\crud (Files)                                                                                                    |          1 |          9 |          0 |          4 |         13 |
| src\test\java\com\example\crud\config                                                                                                     |          2 |         80 |          0 |         16 |         96 |
| src\test\java\com\example\crud\controller                                                                                                 |          1 |        100 |         12 |         26 |        138 |
| src\test\java\com\example\crud\service                                                                                                    |          1 |        113 |         22 |         34 |        169 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language     | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\API_DOCUMENTATION.md                                                      | Markdown     |        258 |          0 |        104 |        362 |
| c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\README.md                                                                 | Markdown     |        134 |          0 |         38 |        172 |
| c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\pom.xml                                                                   | XML          |         77 |          0 |          5 |         82 |
| c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\run.bat                                                                   | Batch        |         33 |          1 |          6 |         40 |
| c:\Proyectos\MISO\2025 13 Modernizacion\order-management-system\run.sh                                                                    | Shell Script |         28 |          2 |          6 |         36 |
